MWG,89.3,77.7,83.5,83.5,83,-0.5,-0.6,81.2,83.5,82.68,102808,84997.58,88.8,77.2,83,83.9,82.2,-0.8,-0.96,81.2,83.9,82.27,112070,92201.55,87.9,76.5,82.2,81.5,80.9,-1.3,-1.58,80.4,81.9,80.85,89994,72757.46,86.5,75.3,80.9,80.9,81.7,0.8,0.99,79,82.3,80.25,117543,94323.26,87.4,76,81.7,81.5,79.4,-2.3,-2.82,79.4,81.5,80.33,91732,73689.62,84.9,73.9,79.4,79.8,79.3,-0.1,-0.13,78.8,80.6,79.67,52228,41612.03,84.8,73.8,79.3,80,81.2,1.9,2.4,79,81.2,80.27,84652,67949.48,Vien thong
NVL,56.2,48.95,52.6,52.5,53,0.4,0.76,51.5,53.5,52.56,110756,58211.01,56.7,49.3,53,53,52.8,-0.2,-0.38,51.7,53.6,52.55,85317,44834.37,56.4,49.15,52.8,52.8,53.1,0.3,0.57,52,54,52.93,112804,59704.57,56.8,49.4,53.1,53,53.2,0.1,0.19,51.8,54.2,53.04,159662,84682.38,56.9,49.5,53.2,53.5,52.8,-0.4,-0.75,52.1,55,52.88,111090,58749.6,56.4,49.15,52.8,52.8,52.8,0,0,52,54.5,52.92,181892,96261.76,56.4,49.15,52.8,52.5,53,0.2,0.38,51.5,53.7,52.52,128247,67351.28,Tap doan
PLX,43.5,37.9,40.7,41,41.35,0.65,1.6,40.6,41.5,40.95,109405,44798.45,44.2,38.5,41.35,41.35,40.2,-1.15,-2.78,40.15,41.35,40.67,110223,44831.17,43,37.4,40.2,40.2,39.7,-0.5,-1.24,39.05,40.5,39.33,122641,48231.85,42.45,36.95,39.7,39.7,40.3,0.6,1.51,39.7,40.6,40.15,70744,28401.9,43.1,37.5,40.3,41.35,40.1,-0.2,-0.5,40,41.35,40.46,88305,35732.17,42.9,37.3,40.1,39.5,40.4,0.3,0.75,39.5,40.65,40.22,54509,21923.5,43.2,37.6,40.4,41.2,41.95,1.55,3.84,40.9,42.3,41.52,170087,70628.28,Dau khi
PNJ,63.5,55.3,59.4,59.6,59.5,0.1,0.17,59.1,59.7,59.44,43414,25805.58,63.6,55.4,59.5,60,58,-1.5,-2.52,58,60.2,58.97,93247,54986.13,62,54,58,58,57.2,-0.8,-1.38,57,58.4,57.34,71642,41079.69,61.2,53.2,57.2,57.2,56.9,-0.3,-0.52,56.7,57.4,57.05,89067,50816.28,60.8,53,56.9,56.8,56.5,-0.4,-0.7,56.2,58,56.79,27449,15588.57,60.4,52.6,56.5,56.8,56,-0.5,-0.88,55.7,57.1,56.11,78606,44104.12,59.9,52.1,56,56,56.5,0.5,0.89,56,56.8,56.27,93263,52480.59,Vang bac
POW,10.15,8.84,9.5,9.5,9.55,0.05,0.53,9.34,9.55,9.44,419550,39608.71,10.2,8.89,9.55,9.68,9.9,0.35,3.66,9.65,9.98,9.86,755104,74424.51,10.55,9.21,9.9,9.9,10.3,0.4,4.04,9.9,10.3,10.09,673210,67934.22,11,9.58,10.3,10.3,10.55,0.25,2.43,10.3,10.7,10.58,759617,80341.51,11.25,9.82,10.55,9.95,9.82,-0.73,-6.92,9.82,10.25,9.96,981341,97722.38,10.5,9.14,9.82,9.82,9.66,-0.16,-1.63,9.51,9.82,9.64,493616,47587.1,10.3,8.99,9.66,9.56,9.95,0.29,3,9.56,9.95,9.78,399006,39038.36,Dien
REE,31.55,27.45,29.5,29.4,30.6,1.1,3.73,29.4,30.65,30.22,91412,27625.42,32.7,28.5,30.6,30.85,30.5,-0.1,-0.33,30.3,31.1,30.77,44605,13724.38,32.6,28.4,30.5,30.5,30.35,-0.15,-0.49,29.95,30.5,30.15,35744,10776.61,32.45,28.25,30.35,30.35,30,-0.35,-1.15,30,30.45,30.21,54765,16543.99,32.1,27.9,30,29.55,29.6,-0.4,-1.33,29.55,30,29.8,64373,19184.82,31.65,27.55,29.6,29.6,30,0.4,1.35,29.6,30,29.84,22673,6764.69,32.1,27.9,30,30,30.4,0.4,1.33,30,30.4,30.27,19064,5770.6,Dien
ROS,3.89,3.39,3.64,3.64,3.71,0.07,1.92,3.52,3.74,3.64,1350773,49207.61,3.96,3.46,3.71,3.81,3.88,0.17,4.58,3.75,3.96,3.86,1454365,56078.78,4.15,3.61,3.88,3.87,3.75,-0.13,-3.35,3.75,3.88,3.79,610191,23117.02,4.01,3.49,3.75,3.71,3.76,0.01,0.27,3.71,3.81,3.76,658566,24790.26,4.02,3.5,3.76,3.55,3.52,-0.24,-6.38,3.51,3.64,3.56,1126978,40135.77,3.76,3.28,3.52,3.51,3.59,0.07,1.99,3.51,3.63,3.58,411856,14742.68,3.84,3.34,3.59,3.65,3.61,0.02,0.56,3.5,3.67,3.58,1220499,43704.77,Xay dung
SAB,193.2,168,180.6,180.6,180,-0.6,-0.33,175.2,185,179.69,7788,13994.44,192.6,167.4,180,180,180,0,0,175,180,177.93,8105,14421.6,192.6,167.4,180,176,170,-10,-5.56,170,179.9,176.48,7321,12920.11,181.9,158.1,170,170,163,-7,-4.12,163,175,170.06,14624,24869.6,174.4,151.6,163,163,155,-8,-4.91,155,163.5,159.32,19803,31549.83,165.8,144.2,155,155,151.7,-3.3,-2.13,150.9,155,152.07,11762,17886.79,162.3,141.1,151.7,161.8,158,6.3,4.15,152,161.8,158.73,8653,13734.87,Thuc pham
SBT,15,13.1,14.05,13.9,14.05,0,0,13.8,14.3,13.94,217812,30367.31,15,13.1,14.05,14.1,13.7,-0.35,-2.49,13.7,14.1,13.89,224630,31191.68,14.65,12.75,13.7,13.7,13.65,-0.05,-0.36,13.5,14.05,13.9,246977,34321.47,14.6,12.7,13.65,13.7,13.75,0.1,0.73,13.6,14,13.73,218741,30025.84,14.7,12.8,13.75,14,14.15,0.4,2.91,13.8,14.6,14.25,203865,29047.88,15.1,13.2,14.15,14.2,14.15,0,0,14.1,14.3,14.19,225808,32038.92,15.1,13.2,14.15,14.2,14.25,0.1,0.71,14,14.3,14.15,215853,30533.41,Cong ty co phan
SSI,14.2,12.4,13.3,13.25,13.25,-0.05,-0.38,13.05,13.35,13.2,150753,19895.13,14.15,12.35,13.25,13.35,13.1,-0.15,-1.13,13.05,13.35,13.17,211289,27821.21,14,12.2,13.1,13.1,12.95,-0.15,-1.15,12.8,13.1,12.92,258711,33423.57,13.85,12.05,12.95,13,13,0.05,0.39,12.9,13.1,12.99,145415,18886.71,13.9,12.1,13,12.9,12.7,-0.3,-2.31,12.7,13,12.82,218031,27943.41,13.55,11.85,12.7,12.7,12.65,-0.05,-0.39,12.6,12.9,12.71,166771,21192.71,13.5,11.8,12.65,12.75,12.95,0.3,2.37,12.7,13,12.85,167570,21534.36,Cong ty co phan
STB,9.79,8.51,9.15,9.15,9.1,-0.05,-0.55,9.04,9.2,9.11,479481,43673.74,9.73,8.47,9.1,9.18,8.99,-0.11,-1.21,8.99,9.23,9.05,805944,72934,9.61,8.37,8.99,9.08,8.98,-0.01,-0.11,8.94,9.12,8.98,707771,63583.52,9.6,8.36,8.98,9,9.1,0.12,1.34,9,9.25,9.12,384489,35068.55,9.73,8.47,9.1,9.1,8.98,-0.12,-1.32,8.98,9.1,9.02,440250,39698.47,9.6,8.36,8.98,8.98,8.97,-0.01,-0.11,8.93,9.09,8.97,480331,43099.53,9.59,8.35,8.97,9,9.14,0.17,1.9,8.93,9.14,9.01,841949,75891.12,Ngan hang
TCB,18.1,15.8,16.95,17.1,17.1,0.15,0.88,16.9,17.15,17.03,85177,14508.67,18.25,15.95,17.1,17.1,17.05,-0.05,-0.29,17,17.25,17.08,96288,16442.34,18.2,15.9,17.05,17.15,17.1,0.05,0.29,16.85,17.15,17,92118,15659.3,18.25,15.95,17.1,17.1,17.2,0.1,0.58,17,17.55,17.31,286001,49502.02,18.4,16,17.2,17.2,17.4,0.2,1.16,17.15,17.7,17.45,201884,35226.25,18.6,16.2,17.4,17.5,17.4,0,0,17.35,17.6,17.41,54601,9507.34,18.6,16.2,17.4,17.55,17.55,0.15,0.86,17.25,17.55,17.41,117510,20463.06,Ngan hang
VCB,74,64.4,69.2,69.2,68.9,-0.3,-0.43,67.5,69.6,68.5,97217,66593.76,73.7,64.1,68.9,69.9,66.8,-2.1,-3.05,66.8,69.9,67.51,254706,171956.59,71.4,62.2,66.8,66.8,67,0.2,0.3,65.2,68.5,66.16,205286,135818.85,71.6,62.4,67,67,68,1,1.49,67,68.1,67.76,152375,103247.09,72.7,63.3,68,68,67.4,-0.6,-0.88,66.8,68.1,67.55,85226,57566.91,72.1,62.7,67.4,67.3,66.8,-0.6,-0.89,66.8,67.7,67.01,100764,67518.19,71.4,62.2,66.8,67.3,67.6,0.8,1.2,66.5,67.7,67.07,85577,57398.72,Ngan hang
VHM,71.2,62,66.6,66.6,65,-1.6,-2.4,64.3,66.8,64.92,214787,139435.1,69.5,60.5,65,65.5,64.5,-0.5,-0.77,64,66.9,65.03,123553,80345.2,69,60,64.5,67,64.6,0.1,0.16,64.5,68.5,65.48,363110,237769.28,69.1,60.1,64.6,64.6,63.6,-1,-1.55,63.3,65,63.74,270120,172171.14,68,59.2,63.6,63.6,64.9,1.3,2.04,63.6,64.9,64.53,157704,101760.94,69.4,60.4,64.9,64.7,63.6,-1.3,-2,63.4,65.5,63.82,239712,152982.68,68,59.2,63.6,63.6,67,3.4,5.35,63.4,67.5,65.73,428663,281755.5,Cong ty co phan
VIC,99.5,86.5,93,93,93,0,0,92.4,93.9,92.94,30024,27904.34,99.5,86.5,93,95,92,-1,-1.08,92,95,92.96,45372,42178.23,98.4,85.6,92,92.5,92,0,0,91.5,92.9,91.89,22292,20483.76,98.4,85.6,92,93,91.9,-0.1,-0.11,90.5,93.4,92.35,31440,29036.13,98.3,85.5,91.9,91.9,91.8,-0.1,-0.11,90,92.5,91.89,25955,23849.09,98.2,85.4,91.8,91.8,92.7,0.9,0.98,91.8,93,92.59,27470,25433.16,99.1,86.3,92.7,92.6,95,2.3,2.48,92.5,95,93.84,77357,72592.5,Tap doan
VJC,124.5,108.3,116.4,116.5,115.2,-1.2,-1.03,114.7,116.5,115.24,22030,25387.61,123.2,107.2,115.2,115.2,113.5,-1.7,-1.48,113,115.2,114.04,27992,31921.94,121.4,105.6,113.5,113,112.9,-0.6,-0.53,112.2,113.5,112.79,21157,23863.25,120.8,105,112.9,112.9,115.5,2.6,2.3,112.1,116.5,114.8,50000,57400.52,123.5,107.5,115.5,115.5,114.3,-1.2,-1.04,113.9,116,115.09,26527,30531.1,122.3,106.3,114.3,114.2,111.5,-2.8,-2.45,111.2,114.3,112.44,25753,28955.84,119.3,103.7,111.5,111.8,112.1,0.6,0.54,111.7,112.5,112.17,41193,46204.97,Cong ty co phan
VNM,102.8,89.4,96.1,99.3,102.8,6.7,6.97,97.5,102.8,100.87,362446,365609.09,109.9,95.7,102.8,106.5,102.8,0,0,102.8,106.5,104.47,195056,203769.22,109.9,95.7,102.8,102.8,100.5,-2.3,-2.24,99.7,103,100.91,140152,141434.3,107.5,93.5,100.5,99.5,99,-1.5,-1.49,99,99.9,99.2,176909,175489.46,105.9,92.1,99,97,97.6,-1.4,-1.41,97,99,97.77,123597,120836.84,104.4,90.8,97.6,98.8,100.5,2.9,2.97,98,100.9,99.74,116380,116079.29,107.5,93.5,100.5,100.7,101.5,1,1,99.7,101.5,100.79,110502,111373.25,Cong ty co phan
VPB,21.25,18.55,19.9,19.9,20.5,0.6,3.02,19.55,20.5,20.24,336245,68066.19,21.9,19.1,20.5,21.9,21,0.5,2.44,20.95,21.9,21.59,892800,192759.65,22.45,19.55,21,20.9,21,0,0,20.5,21.4,21,245391,51523.5,22.45,19.55,21,21,20.5,-0.5,-2.38,20.5,21.1,20.64,467032,96372.15,21.9,19.1,20.5,19.55,20.05,-0.45,-2.2,19.5,20.4,19.96,362473,72364.67,21.45,18.65,20.05,20.25,20.35,0.3,1.5,20,20.45,20.23,232399,47016.97,21.75,18.95,20.35,20.35,20.85,0.5,2.46,20.3,20.85,20.56,265048,54495.37,Ngan hang
VRE,25.75,22.45,24.1,24.4,24,-0.1,-0.41,23.5,24.4,23.94,163911,39238.08,25.65,22.35,24,24.2,23.5,-0.5,-2.08,23.45,24.2,23.63,341872,80790.14,25.1,21.9,23.5,23.5,22.75,-0.75,-3.19,22.3,23.75,22.85,398803,91115.23,24.3,21.2,22.75,22.6,23.1,0.35,1.54,22.6,23.35,23.1,266170,61492.44,24.7,21.5,23.1,22.8,23.45,0.35,1.52,22.8,23.75,23.34,175772,41016.83,25.05,21.85,23.45,23.5,23.55,0.1,0.43,23.5,23.85,23.63,248082,58629.23,25.15,21.95,23.55,23.8,25,1.45,6.16,23.55,25,24.19,520141,125807.52,Cong ty co phan
